tick,MEMRD_ADDR,MEMRD_DATA,CD16,FIDBO,RA,RT,RD,RB,RX,CSA_12_0
47549290,0,0,51125,1,4,12023,117,7654,4,4334
47549291,0,0,51125,1,4,12023,117,7654,4,4334
47549292,0,0,51125,1,4,12023,117,7654,4,4334
47549293,0,0,51125,51125,4,12023,117,7654,4,4334
47549294,0,0,51125,51125,4,12023,117,7654,4,4334
47549295,0,0,51125,51125,4,12023,117,7654,4,4333
47549296,0,0,52522,52522,4,12023,117,7654,4,4333
47549297,0,0,52522,52522,4,12023,117,7654,4,4333
47549997,0,0,0,1,5,12023,117,7654,5,4333
47549998,0,0,0,1,5,12023,117,7654,5,4333
47549999,12025,0,0,1,5,12023,117,7654,5,4333
# MARK w2 tick=47549999
47550000,12025,0,0,1,5,12023,117,7654,5,4333
47550001,0,0,0,1,5,12023,117,7654,5,4333
47550002,0,0,0,1,5,12023,117,7654,5,4333
47550003,0,0,0,1,5,12023,117,7654,5,4333
47550004,0,51125,51125,1,5,12023,117,7654,5,4333
47550005,0,51125,51125,1,5,12023,117,7654,5,4333
47550006,0,51125,51125,1,5,12023,117,7654,5,4333
47550007,0,51125,51125,1,5,12023,117,7654,5,4333
47550008,0,0,51125,1,5,12023,117,7654,5,4333
47550009,0,0,51125,1,5,12023,117,7654,5,4333
47550010,0,0,51125,1,5,12023,117,7654,5,4333
47550011,0,0,51125,51125,5,12023,117,7654,5,4333
47550012,0,0,51125,51125,5,12023,117,7654,5,4334
47550013,0,0,51125,51125,5,12023,117,7654,5,377
47550014,0,0,0,377,5,12023,117,7654,5,377
47550015,0,0,0,377,5,12023,117,7654,5,377
47606015,0,0,0,1,4,12023,117,7654,4,4334
47606016,0,0,0,1,4,12023,117,7654,4,4334
47606017,12025,0,0,1,4,12023,117,7654,4,4334
# MARK w2 tick=47606017
47606018,12025,0,0,1,4,12023,117,7654,4,4334
47606019,0,0,0,1,4,12023,117,7654,4,4334
47606020,0,0,0,1,4,12023,117,7654,4,4334
47606021,0,0,0,1,4,12023,117,7654,4,4334
47606022,0,51125,51125,1,4,12023,117,7654,4,4334
47606023,0,51125,51125,1,4,12023,117,7654,4,4334
47606024,0,51125,51125,1,4,12023,117,7654,4,4334
47606025,0,51125,51125,1,4,12023,117,7654,4,4334
47606026,0,0,51125,1,4,12023,117,7654,4,4334
47606027,0,0,51125,1,4,12023,117,7654,4,4334
47606028,0,0,51125,1,4,12023,117,7654,4,4334
47606029,0,0,51125,51125,4,12023,117,7654,4,4334
47606030,0,0,51125,51125,4,12023,117,7654,4,4334
47606031,0,0,51125,51125,4,12023,117,7654,4,4333
47606032,0,0,52522,52522,4,12023,117,7654,4,4333
47606033,0,0,52522,52522,4,12023,117,7654,4,4333
47606737,0,0,0,1,5,12023,117,7654,5,4333
47606738,0,0,0,1,5,12023,117,7654,5,4333
47606739,12025,0,0,1,5,12023,117,7654,5,4333
# MARK w2 tick=47606739
47606740,12025,0,0,1,5,12023,117,7654,5,4333
47606741,0,0,0,1,5,12023,117,7654,5,4333
47606742,0,0,0,1,5,12023,117,7654,5,4333
47606743,0,0,0,1,5,12023,117,7654,5,4333
47606744,0,51125,51125,1,5,12023,117,7654,5,4333
47606745,0,51125,51125,1,5,12023,117,7654,5,4333
47606746,0,51125,51125,1,5,12023,117,7654,5,4333
47606747,0,51125,51125,1,5,12023,117,7654,5,4333
47606748,0,0,51125,1,5,12023,117,7654,5,4333
47606749,0,0,51125,1,5,12023,117,7654,5,4333
47606750,0,0,51125,1,5,12023,117,7654,5,4333
47606751,0,0,51125,51125,5,12023,117,7654,5,4333
47606752,0,0,51125,51125,5,12023,117,7654,5,4334
47606753,0,0,51125,51125,5,12023,117,7654,5,377
47606754,0,0,0,377,5,12023,117,7654,5,377
47606755,0,0,0,377,5,12023,117,7654,5,377
47657448,0,0,0,1,4,12023,117,7654,4,4334
47657449,0,0,0,1,4,12023,117,7654,4,4334
47657450,12025,0,0,1,4,12023,117,7654,4,4334
# MARK w2 tick=47657450
47657451,12025,0,0,1,4,12023,117,7654,4,4334
