tick,CSA,AREG,TREG,RX,RD,RB,CD16,MEMRD_ADDR,MEMRD_DATA,QREG,DBR
44039099,200,146147,2,2771,55672,7732,53407,0,0,7732,65023
44039100,200,146147,2,2771,55672,7732,53407,0,0,7732,53407
44039101,200,146147,2,2771,55672,7732,0,0,0,7732,53407
44039102,0,146147,2,2771,55672,7732,0,0,0,7732,53407
44039103,0,146147,2,2771,55672,7732,0,0,0,7732,53407
44039104,0,146147,2,2771,55672,7732,0,0,0,7732,53407
44039105,0,146147,2,2771,55672,7732,0,53407,0,7732,53407
44039106,0,146147,2,2771,55672,7732,0,53407,0,7732,53407
44039107,0,146147,2,2771,55672,7732,0,0,0,7732,53407
44039108,0,146147,2,2771,55672,7732,0,0,0,7732,53407
44039109,0,146147,2,2771,55672,7732,0,0,0,7732,53407
44039110,0,146147,2,2771,55672,7732,146402,0,146402,7732,53407
44039111,0,146147,2,2771,55672,7732,146402,0,146402,7732,53407
44039112,0,146147,2,2771,55672,7732,146402,0,146402,7732,53407
44039113,0,146147,2,2771,55672,7732,146402,0,146402,7732,53407
44039114,0,146147,2,2771,55672,7732,146402,0,0,7732,53407
44039115,0,146147,2,2771,55672,7732,146402,0,0,7732,53407
44039116,0,146147,2,2771,55672,7732,146402,0,0,7732,53407
44039117,0,146147,2,2771,55672,7732,146402,0,0,7732,146402
44039118,0,146147,2,2771,55672,7732,0,0,0,7732,146402
44039119,2001,146147,2,2771,55672,7732,0,0,0,7732,146402
44039120,17414,146147,2,2771,55672,7732,0,0,0,7732,146402
44039121,17414,146147,2,2771,55672,7732,0,0,0,7732,146402
44039122,0,146147,2,2771,55672,7732,0,53414,0,7732,146402
44039123,6000,146147,2,2771,55672,7732,0,53414,0,7732,146402
44039124,6000,146147,2,2771,55672,7732,0,0,0,7732,146402
44039125,6000,146147,2,2771,55672,7732,0,0,0,7732,146402
44039126,6000,146147,2,2771,55672,7732,0,0,0,7732,146402
44039127,7310,146147,2,2771,55672,7732,131003,0,131003,7732,146402
44039128,7310,146147,2,2771,55672,7732,131003,0,131003,7732,146402
44039129,7310,146147,2,2771,55672,7732,131003,0,131003,7732,146402
44039130,7310,146147,2,2771,55672,7732,131003,0,131003,7732,146402
44039131,7310,146147,2,2771,55672,7732,131003,0,0,7732,146402
44039132,7310,146147,2,2771,55672,7732,131003,0,0,7732,146402
44039133,7310,146147,2,2771,55672,7732,131003,0,0,7732,146402
44039134,214,177545,2,2771,55672,7732,131003,0,0,7732,131003
44039135,214,177545,2,2771,55672,7732,0,0,0,7732,131003
44039136,0,177545,2,2771,55672,7732,0,0,0,7732,131003
44039137,17417,177545,2,2771,55672,7732,0,0,0,7732,131003
44039138,17417,177545,2,2771,55672,7732,0,0,0,7732,131003
44039139,0,177545,2,2771,55672,7732,0,0,0,7732,131003
44039140,0,177545,2,2771,55672,7732,0,0,0,7732,131003
44039141,0,177545,2,2771,55672,7732,0,0,0,7732,0
44039142,0,177545,2,2771,55672,7732,0,0,0,7732,0
44039143,2001,177545,2,2771,55672,7732,0,0,0,7732,0
44039144,17415,177545,2,2771,55672,7732,0,0,0,7732,0
44039145,17415,177545,2,2771,55672,7732,0,0,0,7732,0
44039146,0,177545,2,2771,55672,7732,0,53415,0,7732,0
44039147,6000,177545,2,2771,55672,7732,0,53415,0,7732,0
44039148,6000,177545,2,2771,55672,7732,0,0,0,7732,0
