tick,MEMRD_ADDR,MEMRD_DATA,RAM_IDX,RAM_Q,CSA_12_0,s_maclk,BDRY
45504099,0,0,4002,122400,0,0,0
45505771,0,0,22011,304200,4332,1,0
45505772,0,0,22011,304200,4332,0,0
45505773,0,0,22011,304200,4333,0,0
45505774,0,0,22011,304200,4333,0,0
45505775,0,0,22011,304200,4333,0,0
45505776,5254,0,22011,304200,4333,0,0
# MARK addr tick=45505776
45505777,5254,0,22011,304200,4333,0,0
45505778,0,0,22002,304200,4333,0,0
45505779,0,0,4002,304200,4333,0,0
45505780,0,0,5254,304200,4333,0,0
# MARK ram tick=45505780
45505781,0,51125,5254,122525,4333,0,0
45505782,0,51125,5254,122525,4333,0,0
45505783,0,51125,5254,122525,4333,0,0
45505784,0,51125,4000,122525,4333,0,0
45505785,0,0,4002,122525,4333,0,0
45505786,0,0,4002,122525,4333,0,0
45506770,0,0,12005,400400,2001,0,0
45506771,0,0,12005,400400,17504,0,0
45506772,0,0,12005,400400,17504,0,0
45506773,55504,0,12005,400400,0,0,0
45506774,55504,0,12005,400400,6000,1,0
45506775,0,0,12026,400400,6000,1,0
# MARK ram tick=45506775
45506776,0,0,54026,400400,6000,1,0
45506777,0,0,55504,400400,6000,1,0
45506778,0,131451,55504,263051,7314,1,0
45506779,0,131451,55504,263051,7314,1,0
45506780,0,131451,55504,263051,7314,1,0
45506781,0,131451,54000,263051,7314,1,0
45540143,0,0,20010,705200,4341,1,0
45540144,0,0,20010,705200,4341,0,0
45540145,0,0,20010,705200,4342,0,0
45540146,0,0,20010,705200,4342,0,0
45540147,0,0,20010,705200,4342,0,0
45540148,12025,0,20010,705200,4342,0,0
# MARK addr tick=45540148
45540149,12025,0,20010,705200,4342,0,0
45540150,0,0,20005,705200,4342,0,0
45540151,0,0,12005,705200,4342,0,0
45540152,0,0,12025,705200,4342,0,0
# MARK ram tick=45540152
45540153,0,51000,12025,122400,4342,0,0
45540154,0,51000,12025,122400,4342,0,0
45540155,0,51000,12025,122400,4342,0,0
45540156,0,51000,12000,122400,4342,0,0
45540157,0,0,12005,122400,4342,0,0
45540158,0,0,12005,122400,4342,0,0
45540169,0,0,12005,122400,145,1,0
45540170,0,0,12005,122400,145,0,0
45540171,0,0,12005,122400,0,0,0
45540172,0,0,12005,122400,0,0,0
45540173,0,0,12005,122400,0,0,0
45540174,12025,0,12005,122400,0,0,0
# MARK addr tick=45540174
45540175,12025,0,12005,122400,0,0,0
