tick,CSA,AREG,TREG,RP,RX,RB,CD16,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.s_alu_IDB_15_0_OUT,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.s_idbctl_IDB_15_0_OUT,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.s_FIDBO_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_csidbs4_0
71281736,0,1206,177777,56152,7515,7672,0,0,0,116400,140065,1207,0,1207,0
71281737,16152,1206,177777,56152,7515,7672,0,0,0,116400,140065,1207,0,1207,0
71281738,16152,1206,177777,56152,7515,7672,0,0,0,116400,140065,1207,0,1207,0
71281739,0,1206,177777,56152,7515,7672,0,56152,0,116400,140065,1207,0,1207,0
71281740,6000,1206,177777,56152,7515,7672,0,56152,0,116400,140065,1207,0,1207,0
71281741,6000,1206,177777,56152,7515,7672,0,0,0,116400,140065,1207,0,1207,0
71281742,6000,1206,177777,56152,7515,7672,0,0,0,116400,140065,1207,0,1207,0
71281743,6000,1206,177777,56152,7515,7672,0,0,0,116400,140065,1207,0,1207,0
71281744,7240,1206,177777,56152,7515,7672,124041,0,124041,116400,140065,1207,0,1207,0
71281745,7240,1206,177777,56152,7515,7672,124041,0,124041,116400,140065,1207,0,1207,34
71281746,7240,1206,177777,56152,7515,7672,124041,0,124041,116400,140065,1207,0,1207,34
71281747,7240,1206,177777,56152,7515,7672,124041,0,124041,116400,140065,1207,0,1207,34
71281748,7240,1206,177777,56152,7515,7672,124041,0,0,116400,140065,1207,0,1207,34
71281749,7240,1206,177777,56152,7515,7672,124041,0,0,116400,140065,1207,0,1207,34
71281750,7240,1206,177777,56152,7515,7672,124041,0,0,116400,140065,1207,0,1207,34
71281751,0,1206,177777,56153,7515,7672,124041,0,0,116400,124041,0,0,0,34
71281752,0,1206,177777,56153,7515,7672,0,0,0,116400,124041,0,0,0,4
71281753,2001,1206,177777,56153,7515,7672,0,0,0,116400,124041,0,0,0,0
71281754,16213,1206,177777,56153,7515,7672,0,0,0,116400,124041,0,0,0,0
71281755,16213,1206,177777,56153,7515,7672,0,0,0,116400,124041,0,0,0,0
71281756,0,1206,177777,56153,7515,7672,0,56213,0,116400,124041,0,0,0,0
71281757,6000,1206,177777,56153,7515,7672,0,56213,0,116400,124041,0,0,0,0
71281758,6000,1206,177777,56153,7515,7672,0,0,0,116400,124041,0,0,0,0
71281759,6000,1206,177777,56153,7515,7672,0,0,0,116400,124041,0,0,0,0
