tick,CSA,AREG,TREG,RX,RD,RB,CD16,MEMRD_DATA,RAM_IDX,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_sw_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_arg_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_csidbs4_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_f_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_g_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_d_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_a_15_0,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.MWRITE50_n,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.DD_17_0_IN
47432818,1156,0,12075,14435,5145,1147,14347,0,2001,116400,151000,0,0,5,14347,163430,14347,110000,0,400400
47432819,1156,0,12075,14435,5145,1147,7654,0,2001,116400,151000,163430,0,5,7654,170123,7654,110000,0,400400
47432820,1156,0,12075,14435,5145,1147,7654,0,2001,116400,151000,163430,0,5,7654,170123,7654,110000,0,400400
47432821,1156,0,12075,14435,5145,1147,7654,0,2001,116400,151000,163430,0,5,7654,170123,7654,110000,0,400400
47432822,1156,0,12075,14435,5145,7654,63154,0,2001,116400,151000,126017,0,5,63154,114623,63154,110000,0,400400
47432823,1156,0,12075,14435,5145,7654,63154,0,2001,116400,151000,126017,0,5,63154,114623,63154,110000,0,400400
47432824,1156,0,12075,14435,5145,7654,63154,0,2001,116400,151000,126017,0,5,63154,114623,63154,110000,0,400400
47432825,1156,0,12075,14435,5145,7654,177777,0,2001,116400,151000,66146,0,5,177777,0,177777,110000,0,400400
47432826,1156,0,12075,14435,5145,7654,177777,0,2001,116400,151000,66146,0,5,177777,0,177777,110000,0,400400
47432827,1157,0,12075,14435,5145,7654,177777,0,2001,116400,151000,66146,0,5,177777,0,177777,110000,0,400400
47432828,1157,0,12075,14435,177777,7654,110044,0,2001,116400,151000,177777,0,5,110044,67733,110044,110000,0,400400
47432829,1160,0,12075,14435,177777,7654,110044,0,2001,116400,151000,177777,0,5,110044,67733,110044,110000,0,400400
47432830,1160,0,12075,14435,177777,7654,110044,0,2001,116400,151000,177777,0,5,110044,67733,110044,110000,0,400400
47432831,1160,0,12075,14435,177777,7654,0,0,2001,116400,151000,22220,0,5,26444,177777,0,110044,0,400400
47432832,1161,0,12075,14435,177777,7654,0,0,2001,116400,151000,22220,0,0,26444,177777,0,110044,0,400400
47432833,1076,0,12075,14435,177777,7654,0,0,2001,116400,151000,22220,0,0,26444,177777,0,110044,0,400400
47432834,1076,0,12075,14435,177777,7654,110044,0,2001,116400,151000,0,0,0,110044,67733,0,110044,0,400400
47432835,1076,0,12075,14435,177777,7654,110044,0,2001,116400,151000,0,0,0,110044,67733,0,110044,0,400400
47432836,0,0,12075,14435,177777,7654,110044,0,2001,116400,151000,0,0,0,110044,67733,0,110044,0,400400
47432837,0,0,12075,14435,177777,7654,0,0,2001,116400,151000,22220,0,0,0,177777,0,110044,0,400400
47432838,0,0,12075,14435,177777,7654,0,0,2001,116400,151000,22220,0,4,0,177777,0,110044,0,400400
47432839,2001,0,12075,14435,177777,7654,0,0,2001,116400,151000,22220,0,0,0,177777,0,110044,0,400400
47432840,17154,0,12075,14435,177777,7654,0,0,2001,116400,151000,22220,0,0,0,177777,0,110044,0,400400
47432841,17154,0,12075,14435,177777,7654,0,0,2001,116400,151000,22220,0,0,0,177777,0,110044,0,400400
47432842,0,0,12075,14435,177777,7654,0,0,2001,116400,151000,22220,0,0,0,177777,0,110044,0,400400
47432843,6000,0,12075,14435,177777,7654,0,0,2001,116400,151000,22220,0,0,0,177777,0,110044,0,400400
47432844,6000,0,12075,14435,177777,7654,0,0,2031,116400,151000,22220,0,0,0,177777,0,110044,1,0
47432845,6000,0,12075,14435,177777,7654,0,0,62031,116400,151000,22220,0,0,0,177777,0,110044,1,0
47432846,6000,0,12075,14435,177777,7654,0,0,63154,116400,151000,22220,0,0,0,177777,0,110044,1,0
47432847,6156,0,12075,14435,177777,7654,15602,15602,63154,116400,151000,22220,0,0,0,177777,0,110044,1,0
47432848,6156,0,12075,14435,177777,7654,15602,15602,63154,116400,151000,22220,0,0,0,177777,0,110044,1,0
47432849,6156,0,12075,14435,177777,7654,15602,15602,63154,116400,151000,22220,0,0,0,177777,0,110044,1,0
47432850,6156,0,12075,14435,177777,7654,15602,15602,62000,116400,151000,22220,0,0,0,177777,0,110044,1,0
47432851,6156,0,12075,14435,177777,7654,15602,0,62031,116400,151000,22220,0,0,0,177777,0,110044,1,400400
47432852,6156,0,12075,14435,177777,7654,15602,0,62031,116400,151000,22220,0,0,0,177777,0,110044,1,400400
47432853,6156,0,12075,14435,177777,7654,15602,0,62031,116400,151000,22220,0,0,0,177777,0,110044,0,400400
47432854,101,0,12075,14435,177777,7654,15602,0,62031,116400,15602,0,70101,0,14435,163342,0,14435,0,400400
47432855,101,0,12075,14435,177777,7654,0,0,62031,116400,15602,0,70101,0,14435,163342,0,14435,0,400400
47432856,145,0,12075,14435,177777,7654,0,0,62031,116400,15602,0,70101,0,14435,163342,0,14435,0,400400
47432857,145,0,12075,14435,177777,7654,0,0,62031,116400,15602,0,70101,0,14435,163342,0,14435,0,400400
