tick,CSA,AREG,TREG,RP,RA,RT,RX,RB,RD,RL,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.MWRITE50_n,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.DD_17_0_IN,RAM_IDX
71247723,172,177777,116400,2460,177777,116400,15,1147,12532,2454,0,65567,20000,51012,1,0,2000
71247724,172,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,51012,1,400400,2001
71247725,172,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,51012,1,400400,2001
71247726,172,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,51012,0,400400,2001
71247727,172,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,65567,0,400400,2001
71247728,172,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,65567,0,400400,2001
71247729,0,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,65567,0,400400,2001
71247730,0,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,65567,0,400400,2001
71247731,0,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,65567,0,400400,2001
71247732,0,177777,116400,2460,177777,116400,15,1147,12532,2454,65567,0,20000,65567,0,400,2001
71247733,0,177777,116400,2460,177777,116400,15,1147,12532,2454,65567,0,20000,65567,0,400,2001
71247734,0,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,65567,1,0,2032
71247735,0,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,65567,1,0,64032
71247736,0,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,65567,1,0,65567
71247737,0,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,65567,1,0,65567
71247738,0,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,65567,1,0,65567
71247739,0,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,65567,1,0,65567
71247740,0,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,65567,1,0,64000
71247741,0,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,65567,1,400400,64032
71247742,0,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,65567,1,400400,64032
71247743,0,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,65567,0,400400,64032
71247744,0,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,0,0,400400,64032
71247745,0,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,0,0,400400,64032
71247746,2001,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,0,0,400400,64032
71247747,16460,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,0,0,400400,64032
71247748,16460,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,0,0,400400,64032
71247749,0,177777,116400,2460,177777,116400,15,1147,12532,2454,2460,0,20000,0,0,400400,64032
71247750,6000,177777,116400,2460,177777,116400,15,1147,12532,2454,2460,0,20000,0,0,400400,64032
71247751,6000,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,0,1,0,64001
71247752,6000,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,0,1,0,2001
71247753,6000,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,0,1,0,2460
71247754,6103,177777,116400,2460,177777,116400,15,1147,12532,2454,0,10352,20000,0,1,0,2460
71247755,6103,177777,116400,2460,177777,116400,15,1147,12532,2454,0,10352,20000,0,1,0,2460
71247756,6103,177777,116400,2460,177777,116400,15,1147,12532,2454,0,10352,20000,0,1,0,2460
71247757,6103,177777,116400,2460,177777,116400,15,1147,12532,2454,0,10352,20000,0,1,0,2000
71247758,6103,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,0,1,400400,2001
71247759,6103,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,0,1,400400,2001
71247760,6103,177777,116400,2460,177777,116400,15,1147,12532,2454,0,0,20000,0,0,400400,2001
71247761,145,177777,0,2461,177777,0,15,1147,12532,2454,0,0,20000,10352,0,400400,2001
71247762,145,177777,0,2461,177777,0,15,1147,12532,2454,0,0,20000,10352,0,400400,2001
71247763,0,177777,0,2461,177777,0,15,1147,12532,2454,0,0,20000,10352,0,400400,2001
71247764,0,177777,0,2461,177777,0,15,1147,12532,2454,0,0,20000,10352,0,400400,2001
71247765,0,177777,0,2461,177777,0,15,1147,12532,2454,0,0,20000,10352,0,400400,2001
71247766,0,177777,0,2461,177777,0,15,1147,12532,2454,2432,0,20000,10352,0,405032,2001
71247767,0,177777,0,2461,177777,0,15,1147,12532,2454,2432,0,20000,10352,0,405032,2001
71247768,0,177777,0,2461,177777,0,15,1147,12532,2454,0,0,20000,10352,0,400400,2001
71247769,0,177777,0,2461,177777,0,15,1147,12532,2454,0,0,20000,10352,0,400400,2001
71247770,0,177777,0,2461,177777,0,15,1147,12532,2454,0,0,20000,0,0,400400,2432
71247771,0,177777,0,2461,177777,0,15,1147,12532,2454,0,0,20000,0,0,400400,2432
71247772,2001,177777,0,2461,177777,0,15,1147,12532,2454,0,0,20000,0,0,400400,2432
71247773,16461,177777,0,2461,177777,0,15,1147,12532,2454,0,0,20000,0,0,400400,2432
71247774,16461,177777,0,2461,177777,0,15,1147,12532,2454,0,0,20000,0,0,400400,2000
71247775,0,177777,0,2461,177777,0,15,1147,12532,2454,0,0,20000,0,0,400400,2001
71247776,0,177777,0,2461,177777,0,15,1147,12532,2454,0,0,20000,0,0,400400,2001
71247777,0,177777,0,2461,177777,0,15,1147,12532,2454,2461,0,20000,0,0,400000,2001
71247778,6000,177777,0,2461,177777,0,15,1147,12532,2454,2461,0,20000,0,0,400000,2001
71247779,6000,177777,0,2461,177777,0,15,1147,12532,2454,0,0,20000,0,1,0,2001
71247780,6000,177777,0,2461,177777,0,15,1147,12532,2454,0,0,20000,0,1,0,2001
71247781,6000,177777,0,2461,177777,0,15,1147,12532,2454,0,0,20000,0,1,0,2461
71247782,7420,177777,0,2461,177777,0,15,1147,12532,2454,0,142006,20000,0,1,0,2461
71247783,7420,177777,0,2461,177777,0,15,1147,12532,2454,0,142006,20000,0,1,0,2461
71247784,7420,177777,0,2461,177777,0,15,1147,12532,2454,0,142006,20000,0,1,0,2461
71247785,7420,177777,0,2461,177777,0,15,1147,12532,2454,0,142006,20000,0,1,0,2000
71247786,7420,177777,0,2461,177777,0,15,1147,12532,2454,0,0,20000,0,1,400400,2001
71247787,7420,177777,0,2461,177777,0,15,1147,12532,2454,0,0,20000,0,1,400400,2001
71247788,7420,177777,0,2461,177777,0,15,1147,12532,2454,0,0,20000,0,0,400400,2001
71247789,215,177777,0,2462,177777,0,15,1147,12532,2454,0,0,20000,142006,0,400400,2001
71247790,215,177777,0,2462,177777,0,15,1147,12532,2454,0,0,20000,142006,0,400400,2001
71247791,0,177777,0,2462,177777,0,15,1147,12532,2454,0,0,20000,142006,0,400400,2001
71247792,16462,177777,0,2462,177777,0,15,1147,12532,2454,0,0,20000,142006,0,400400,2001
71247793,16462,177777,0,2462,177777,0,15,1147,12532,2454,0,0,20000,142006,0,400400,2001
