tick,CSA,AREG,TREG,RX,CD16,FIDBO,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_sw_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_arg_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_csidbs4_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_f_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_g_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_d_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_a_15_0
68391576,0,157,47,376,0,0,0,0,71157,0,44000,0,0,0,177777,0,0
68391577,0,157,47,376,0,0,0,0,71157,0,44000,0,4,0,177777,0,0
68391578,2001,157,47,376,0,0,0,0,71157,0,44000,0,0,0,177777,0,0
68391579,16313,157,47,376,0,0,0,0,71157,0,44000,0,0,0,177777,0,0
68391580,16313,157,47,376,0,0,0,0,71157,0,44000,0,0,0,177777,0,0
68391581,0,157,47,376,0,0,14313,0,71157,0,44000,0,0,0,177777,0,0
68391582,6000,157,47,376,0,0,14313,0,71157,0,44000,0,0,0,177777,0,0
68391583,6000,157,47,376,0,0,0,0,71157,0,44000,0,0,0,177777,0,0
68391584,6000,157,47,376,0,0,0,0,71157,0,44000,0,0,0,177777,0,0
68391585,6000,157,47,376,0,0,0,0,71157,0,44000,0,0,0,177777,0,0
68391586,7465,157,47,376,146575,0,0,146575,71157,0,44000,0,0,0,177777,0,0
68391587,7465,157,47,376,146575,0,0,146575,71157,0,44000,0,0,0,177777,0,0
68391588,7465,157,47,376,146575,0,0,146575,71157,0,44000,0,0,0,177777,0,0
68391589,7465,157,47,376,146575,0,0,146575,71157,0,44000,0,0,0,177777,0,0
68391590,7465,157,47,376,146575,0,0,0,71157,0,44000,0,0,0,177777,0,0
68391591,7465,157,47,376,146575,0,0,0,71157,0,44000,0,0,0,177777,0,0
68391592,7465,157,47,376,146575,0,0,0,71157,0,44000,0,0,0,177777,0,0
68391593,145,157,47,376,146575,377,0,0,71157,146575,0,145,0,377,177400,0,376
