tick,MEMRD_ADDR,MEMRD_DATA,CD16,FIDBO,RA,RT,RD,RB,RX,CSA_12_0
70359357,0,146575,146575,0,75,47,0,7656,376,7465
70359358,0,146575,146575,0,75,47,0,7656,376,7465
70359359,0,146575,146575,0,75,47,0,7656,376,7465
70359360,0,0,146575,0,75,47,0,7656,376,7465
70359361,0,0,146575,0,75,47,0,7656,376,7465
70359362,0,0,146575,0,75,47,0,7656,376,7465
70359363,0,0,146575,377,75,47,0,7656,376,145
70359364,0,0,0,377,75,47,0,7656,376,145
70359365,0,0,0,377,75,47,0,7656,376,0
70359366,0,0,0,377,75,47,0,7656,376,16314
70359367,0,0,0,377,75,47,0,7656,376,16314
70359368,14314,0,0,377,75,47,0,7656,376,0
70359369,14314,0,0,377,75,47,0,7656,376,6000
70359370,0,0,0,377,75,47,0,7656,376,6000
70359371,0,0,0,377,75,47,0,7656,376,6000
70359372,0,0,0,377,75,47,0,7656,376,6000
70359373,0,4611,4611,377,75,47,0,7656,376,6046
70359374,0,4611,4611,377,75,47,0,7656,376,6046
70359375,0,4611,4611,377,75,47,0,7656,376,6046
70359376,0,4611,4611,377,75,47,0,7656,376,6046
70359377,0,0,4611,377,75,47,0,7656,376,6046
70359378,0,0,4611,377,75,47,0,7656,376,6046
70359379,0,0,4611,377,75,47,0,7656,376,6046
70359380,0,0,4777,377,377,47,0,7656,376,145
# MARK ra tick=70359380
70359381,0,0,377,377,377,47,0,7656,376,145
70359382,0,0,377,377,377,47,0,7656,376,0
70359383,0,0,377,377,377,47,0,7656,376,0
70376338,0,70141,177777,1,430,73600,0,7656,430,4334
70376339,0,70141,177777,1,430,73600,0,7656,430,4334
70376340,0,70141,177777,1,430,73600,0,7656,430,4334
70376341,0,0,177777,1,430,73600,0,7656,430,4334
70376342,0,0,177777,1,430,73600,0,7656,430,4334
70376343,0,0,177777,1,430,73600,0,7656,430,4334
70376344,0,0,177777,177777,430,73600,0,7656,430,4334
70376345,0,0,177777,177777,430,73600,0,7656,430,4334
70376346,0,0,177777,177777,430,73600,0,7656,430,4333
70376347,0,0,177777,177777,430,73600,0,7656,430,4333
70376348,0,0,177777,177777,430,73600,0,7656,430,4333
70376349,0,0,177777,177777,430,73600,0,7656,430,377
70376350,0,0,177777,377,430,73600,0,7656,430,377
70376351,0,0,0,377,430,73600,0,7656,430,377
70376352,0,0,0,377,430,73600,0,7656,430,401
70376353,0,0,0,377,430,73600,0,7656,430,16310
70376354,0,0,0,377,430,73600,0,7656,430,16310
70376355,14310,0,0,377,430,73600,0,7656,430,0
70376356,14310,0,0,377,430,73600,0,7656,430,6000
70376357,0,0,0,377,430,73600,0,7656,430,6000
70376358,0,0,0,377,430,73600,0,7656,430,6000
70376359,0,0,0,377,430,73600,0,7656,430,6000
70376360,0,171047,171047,377,430,73600,0,7656,430,7710
70376361,0,171047,171047,377,430,73600,0,7656,430,7710
70376362,0,171047,171047,377,430,73600,0,7656,430,7710
70376363,0,171047,171047,377,430,73600,0,7656,430,7710
70376364,0,0,171047,377,430,73600,0,7656,430,7710
70376365,0,0,171047,377,430,73600,0,7656,430,7710
70376366,0,0,171047,377,430,73600,0,7656,430,7710
70376367,0,0,171047,47,377,73600,0,7656,430,0
# MARK ra tick=70376367
70376368,0,0,0,47,377,73600,0,7656,430,0
70376369,0,0,0,47,377,73600,0,7656,430,2001
70376370,0,0,0,47,377,73600,0,7656,430,16311
70376563,0,0,177777,1,431,73600,0,7656,431,4333
70376564,0,0,177777,1,431,73600,0,7656,431,4333
70376565,0,70141,177777,1,431,73600,0,7656,431,4333
70376566,0,70141,177777,1,431,73600,0,7656,431,4333
70376567,0,70141,177777,1,431,73600,0,7656,431,4333
70376568,0,70141,177777,1,431,73600,0,7656,431,4333
70376569,0,0,177777,1,431,73600,0,7656,431,4333
70376570,0,0,177777,1,431,73600,0,7656,431,4333
70376571,0,0,177777,1,431,73600,0,7656,431,4333
70376572,0,0,177777,177777,431,73600,0,7656,431,4333
70376573,0,0,177777,177777,431,73600,0,7656,431,4334
70376574,0,0,177777,177777,431,73600,0,7656,431,377
70376575,0,0,177777,377,431,73600,0,7656,431,377
70376576,0,0,0,377,431,73600,0,7656,431,377
70376577,0,0,0,377,431,73600,0,7656,431,401
70376578,0,0,0,377,431,73600,0,7656,431,16310
70376579,0,0,0,377,431,73600,0,7656,431,16310
70376580,14310,0,0,377,431,73600,0,7656,431,0
70376581,14310,0,0,377,431,73600,0,7656,431,6000
70376582,0,0,0,377,431,73600,0,7656,431,6000
70376583,0,0,0,377,431,73600,0,7656,431,6000
70376584,0,0,0,377,431,73600,0,7656,431,6000
70376585,0,171047,171047,377,431,73600,0,7656,431,7710
70376586,0,171047,171047,377,431,73600,0,7656,431,7710
70376587,0,171047,171047,377,431,73600,0,7656,431,7710
70376588,0,171047,171047,377,431,73600,0,7656,431,7710
70376589,0,0,171047,377,431,73600,0,7656,431,7710
70376590,0,0,171047,377,431,73600,0,7656,431,7710
70376591,0,0,171047,377,431,73600,0,7656,431,7710
70376592,0,0,171047,47,377,73600,0,7656,431,0
# MARK ra tick=70376592
70376593,0,0,0,47,377,73600,0,7656,431,0
70376594,0,0,0,47,377,73600,0,7656,431,2001
70376595,0,0,0,47,377,73600,0,7656,431,16311
71053060,14313,0,0,0,40,47,0,7656,376,0
71053061,14313,0,0,0,40,47,0,7656,376,6000
71053062,0,0,0,0,40,47,0,7656,376,6000
71053063,0,0,0,0,40,47,0,7656,376,6000
71053064,0,0,0,0,40,47,0,7656,376,6000
71053065,0,146575,146575,0,40,47,0,7656,376,7465
71053066,0,146575,146575,0,40,47,0,7656,376,7465
71053067,0,146575,146575,0,40,47,0,7656,376,7465
71053068,0,146575,146575,0,40,47,0,7656,376,7465
71053069,0,0,146575,0,40,47,0,7656,376,7465
71053070,0,0,146575,0,40,47,0,7656,376,7465
71053071,0,0,146575,0,40,47,0,7656,376,7465
71053072,0,0,146575,377,40,47,0,7656,376,145
71053073,0,0,0,377,40,47,0,7656,376,145
71053074,0,0,0,377,40,47,0,7656,376,0
71053075,0,0,0,377,40,47,0,7656,376,16314
71053076,0,0,0,377,40,47,0,7656,376,16314
71053077,14314,0,0,377,40,47,0,7656,376,0
71053078,14314,0,0,377,40,47,0,7656,376,6000
71053079,0,0,0,377,40,47,0,7656,376,6000
71053080,0,0,0,377,40,47,0,7656,376,6000
71053081,0,0,0,377,40,47,0,7656,376,6000
71053082,0,4611,4611,377,40,47,0,7656,376,6046
71053083,0,4611,4611,377,40,47,0,7656,376,6046
71053084,0,4611,4611,377,40,47,0,7656,376,6046
