tick,CD16,AREG,TREG,FIDBO,CPUIDB,IOIDB8,THR,TXBYTE,CSA_12_0
44076746,2522,177777,110044,2522,2522,122,111,111,1134
44076747,15,177777,110044,15,15,15,111,111,1134
44076748,15,177777,110044,15,15,15,111,111,1135
44076804,7732,177777,110044,7732,7732,332,111,111,1151
44076805,7732,177777,110044,7732,7732,332,111,111,1151
44076806,7732,177777,110044,7732,7732,332,111,111,1151
44076807,2522,177777,110044,2522,2522,122,111,111,1151
# MARK idbR tick=44076807
44076808,2522,177777,110044,2522,2522,122,111,111,1151
44076809,2522,177777,110044,2522,2522,122,111,111,1151
44076810,55345,177777,110044,55345,55345,345,111,111,1151
44076811,55345,177777,110044,55345,55345,345,111,111,1151
44081824,15,177777,116400,15,15,15,111,111,1131
44081825,15,177777,116400,15,15,15,111,111,1131
44081826,15,177777,116400,15,15,15,111,111,1133
44081827,2522,177777,116400,2522,2522,122,111,111,1133
# MARK idbR tick=44081827
44081828,2522,177777,116400,2522,2522,122,111,111,1133
44081829,2522,177777,116400,2522,2522,122,111,111,1134
44081830,15,177777,116400,15,15,15,111,111,1134
44081831,15,177777,116400,15,15,15,111,111,1135
44082253,7732,177777,110044,7732,7732,332,111,111,1156
44082254,7732,177777,110044,7732,7732,332,111,111,1156
44082255,7732,177777,110044,7732,7732,332,111,111,1156
44082256,2522,177777,110044,2522,2522,122,111,111,1156
# MARK idbR tick=44082256
44082257,2522,177777,110044,2522,2522,122,111,111,1156
44082258,2522,177777,110044,2522,2522,122,111,111,1156
44082259,55345,177777,110044,55345,55345,345,111,111,1156
44082260,55345,177777,110044,55345,55345,345,111,111,1156
44082287,173745,177777,110044,173745,173745,345,111,111,3761
44082288,173745,177777,110044,173745,173745,345,111,111,3761
44082289,173745,177777,110044,173745,173745,345,111,111,2333
44082290,2522,177777,110044,2522,2522,122,111,111,2333
# MARK idbR tick=44082290
44082291,2522,177777,110044,2522,2522,122,111,111,2333
44082292,2522,177777,110044,2522,2522,122,111,111,2334
44082293,10,177777,110044,10,10,10,111,111,2334
44082294,10,177777,110044,10,10,10,111,111,2335
44082407,15,177777,110044,15,15,15,111,111,1131
44082408,15,177777,110044,15,15,15,111,111,1131
44082409,15,177777,110044,15,15,15,111,111,1133
44082410,2522,177777,110044,2522,2522,122,111,111,1133
# MARK idbR tick=44082410
44082411,2522,177777,110044,2522,2522,122,111,111,1133
44082412,2522,177777,110044,2522,2522,122,111,111,1134
44082413,15,177777,110044,15,15,15,111,111,1134
44082414,15,177777,110044,15,15,15,111,111,1135
44082470,7732,177777,110044,7732,7732,332,111,111,1151
44082471,7732,177777,110044,7732,7732,332,111,111,1151
44082472,7732,177777,110044,7732,7732,332,111,111,1151
44082473,2522,177777,110044,2522,2522,122,111,111,1151
# MARK idbR tick=44082473
44082474,2522,177777,110044,2522,2522,122,111,111,1151
44082475,2522,177777,110044,2522,2522,122,111,111,1151
44082476,55345,177777,110044,55345,55345,345,111,111,1151
44082477,55345,177777,110044,55345,55345,345,111,111,1151
44087483,15,177777,116400,15,15,15,111,111,1131
44087484,15,177777,116400,15,15,15,111,111,1131
44087485,15,177777,116400,15,15,15,111,111,1133
44087486,2522,177777,116400,2522,2522,122,111,111,1133
# MARK idbR tick=44087486
44087487,2522,177777,116400,2522,2522,122,111,111,1133
44087488,2522,177777,116400,2522,2522,122,111,111,1134
44087489,15,177777,116400,15,15,15,111,111,1134
44087490,15,177777,116400,15,15,15,111,111,1135
44087912,7732,177777,110044,7732,7732,332,111,111,1156
44087913,7732,177777,110044,7732,7732,332,111,111,1156
44087914,7732,177777,110044,7732,7732,332,111,111,1156
