tick,CSA,AREG,TREG,RP,RA,RT,RX,RB,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.MWRITE50_n,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.DD_17_0_IN,RAM_IDX
45505935,16453,6,5252,22453,6,5252,5,7753,0,0,51125,74,0,400400,4002
45505936,16453,6,5252,22453,6,5252,5,7753,0,0,51125,74,0,400400,4002
45505937,0,6,5252,22453,6,5252,5,7753,22453,0,51125,74,0,400,4002
45505938,6000,6,5252,22453,6,5252,5,7753,22453,0,51125,74,0,400,4002
45505939,6000,6,5252,22453,6,5252,5,7753,0,0,51125,74,1,0,4011
45505940,6000,6,5252,22453,6,5252,5,7753,0,0,51125,74,1,0,22011
45505941,6000,6,5252,22453,6,5252,5,7753,0,0,51125,74,1,0,22453
45505942,7400,6,5252,22453,6,5252,5,7753,0,140065,51125,74,1,0,22453
45505943,7400,6,5252,22453,6,5252,5,7753,0,140065,51125,74,1,0,22453
45505944,7400,6,5252,22453,6,5252,5,7753,0,140065,51125,74,1,0,22453
45505945,7400,6,5252,22453,6,5252,5,7753,0,140065,51125,74,1,0,22000
45505946,7400,6,5252,22453,6,5252,5,7753,0,0,51125,74,1,400400,22011
45505947,7400,6,5252,22453,6,5252,5,7753,0,0,51125,74,1,400400,22011
45505948,7400,6,5252,22453,6,5252,5,7753,0,0,51125,74,0,400400,22011
45505949,215,6,74,22454,6,74,5,7753,0,0,51125,140065,0,400400,22011
45505950,215,6,74,22454,6,74,5,7753,0,0,51125,140065,0,400400,22011
45505951,0,6,74,22454,6,74,5,7753,0,0,51125,140065,0,400400,22011
45505952,16454,6,74,22454,6,74,5,7753,0,0,51125,140065,0,400400,22011
45505953,16454,6,74,22454,6,74,5,7753,0,0,51125,140065,0,400400,22011
45505954,0,6,74,22454,6,74,5,7753,22454,0,51125,140065,0,0,22011
45505955,6000,6,74,22454,6,74,5,7753,22454,0,51125,140065,0,0,22011
45505956,6000,6,74,22454,6,74,5,7753,0,0,51125,140065,1,0,22011
45505957,6000,6,74,22454,6,74,5,7753,0,0,51125,140065,1,0,22011
45505958,6000,6,74,22454,6,74,5,7753,0,0,51125,140065,1,0,22454
45505959,7240,6,74,22454,6,74,5,7753,0,124002,51125,140065,1,0,22454
45505960,7240,6,74,22454,6,74,5,7753,0,124002,51125,140065,1,0,22454
45505961,7240,6,74,22454,6,74,5,7753,0,124002,51125,140065,1,0,22454
45505962,7240,6,74,22454,6,74,5,7753,0,124002,51125,140065,1,0,22000
45505963,7240,6,74,22454,6,74,5,7753,0,0,51125,140065,1,400400,22011
45505964,7240,6,74,22454,6,74,5,7753,0,0,51125,140065,1,400400,22011
45505965,7240,6,74,22454,6,74,5,7753,0,0,51125,140065,0,400400,22011
45505966,0,6,74,22455,6,74,5,7753,0,0,51125,124002,0,400400,22011
45505967,0,6,74,22455,6,74,5,7753,0,0,51125,124002,0,400400,22011
45505968,2001,6,74,22455,6,74,5,7753,0,0,51125,124002,0,400400,22011
45505969,16456,6,74,22455,6,74,5,7753,0,0,51125,124002,0,400400,22011
45505970,16456,6,74,22455,6,74,5,7753,0,0,51125,124002,0,400400,22011
45505971,0,6,74,22455,6,74,5,7753,22456,0,51125,124002,0,400,22011
45505972,6000,6,74,22455,6,74,5,7753,22456,0,51125,124002,0,400,22011
45505973,6000,6,74,22455,6,74,5,7753,0,0,51125,124002,1,0,22011
45505974,6000,6,74,22455,6,74,5,7753,0,0,51125,124002,1,0,22011
45505975,6000,6,74,22455,6,74,5,7753,0,0,51125,124002,1,0,22456
45505976,6446,6,74,22455,6,74,5,7753,0,44607,51125,124002,1,0,22456
45505977,6446,6,74,22455,6,74,5,7753,0,44607,51125,124002,1,0,22456
45505978,6446,6,74,22455,6,74,5,7753,0,44607,51125,124002,1,0,22456
45505979,6446,6,74,22455,6,74,5,7753,0,44607,51125,124002,1,0,22000
45505980,6446,6,74,22455,6,74,5,7753,0,0,51125,124002,1,400400,22011
45505981,6446,6,74,22455,6,74,5,7753,0,0,51125,124002,1,400400,22011
45505982,6446,6,74,22455,6,74,5,7753,0,0,51125,124002,0,400400,22011
45505983,170,6,74,22457,6,74,5,7753,0,0,51125,44607,0,400400,22011
45505984,170,6,74,22457,6,74,5,7753,0,0,51125,44607,0,400400,22011
45505985,0,6,74,22457,6,74,5,7753,0,0,51125,44607,0,400400,22011
45505986,0,6,74,22457,6,74,5,7753,0,0,51125,44607,0,400400,22011
45505987,0,6,74,22457,6,74,5,7753,0,0,51125,44607,0,400400,22011
45505988,0,6,74,22457,6,74,5,7753,7562,0,51125,44607,0,400400,22011
45505989,0,6,74,22457,6,74,5,7753,7562,0,51125,44607,0,400400,22011
45505990,0,6,74,22457,6,74,5,7753,0,0,51125,44607,1,0,22003
45505991,0,6,74,22457,6,74,5,7753,0,0,51125,44607,1,0,6003
45505992,0,6,74,22457,6,74,5,7753,0,0,51125,44607,1,0,7562
45505993,0,6,74,22457,6,74,5,7753,0,125,51125,44607,1,0,7562
45505994,0,6,74,22457,6,74,5,7753,0,125,51125,44607,1,0,7562
45505995,0,6,74,22457,6,74,5,7753,0,125,51125,44607,1,0,7562
45505996,0,6,74,22457,6,74,5,7753,0,125,51125,44607,1,0,6000
45505997,0,6,74,22457,6,74,5,7753,0,0,51125,44607,1,400400,6003
45505998,0,6,74,22457,6,74,5,7753,0,0,51125,44607,1,400400,6003
45505999,0,6,74,22457,6,74,5,7753,0,0,51125,44607,0,400400,6003
45506000,0,6,74,22457,6,74,5,7753,0,0,51125,125,0,400400,6003
45506001,0,6,74,22457,6,74,5,7753,0,0,51125,125,0,400400,6003
45506002,2001,6,74,22457,6,74,5,7753,0,0,51125,125,0,400400,6003
45506003,16457,6,74,22457,6,74,5,7753,0,0,51125,125,0,400400,6003
45506004,16457,6,74,22457,6,74,5,7753,0,0,51125,125,0,400400,6003
45506005,0,6,74,22457,6,74,5,7753,22457,0,51125,125,0,0,6003
45506006,6000,6,74,22457,6,74,5,7753,22457,0,51125,125,0,0,6003
45506007,6000,6,74,22457,6,74,5,7753,0,0,51125,125,1,0,6011
45506008,6000,6,74,22457,6,74,5,7753,0,0,51125,125,1,0,22011
45506009,6000,6,74,22457,6,74,5,7753,0,0,51125,125,1,0,22457
45506010,7350,6,74,22457,6,74,5,7753,0,135005,51125,125,1,0,22457
45506011,7350,6,74,22457,6,74,5,7753,0,135005,51125,125,1,0,22457
45506012,7350,6,74,22457,6,74,5,7753,0,135005,51125,125,1,0,22457
