tick,CSA,AREG,TREG,RX,RD,RB,CD16,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_sw_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_arg_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_csidbs4_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_f_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_g_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_d_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_a_15_0
44604615,0,123,17,773,10,1164,0,63173,0,22416,773,175401,0,0,0,177777,0,0
44604616,6000,123,17,773,10,1164,0,63173,0,22416,773,175401,0,0,0,177777,0,0
44604617,6000,123,17,773,10,1164,0,0,0,22416,773,175401,0,0,0,177777,0,0
44604618,6000,123,17,773,10,1164,0,0,0,22416,773,175401,0,0,0,177777,0,0
44604619,6000,123,17,773,10,1164,0,0,0,22416,773,175401,0,0,0,177777,0,0
44604620,7434,123,17,773,10,1164,143474,0,143474,22416,773,175401,0,0,0,177777,0,0
44604621,7434,123,17,773,10,1164,143474,0,143474,22416,773,175401,0,0,0,177777,0,0
44604622,7434,123,17,773,10,1164,143474,0,143474,22416,773,175401,0,0,0,177777,0,0
44604623,7434,123,17,773,10,1164,143474,0,143474,22416,773,175401,0,0,0,177777,0,0
44604624,7434,123,17,773,10,1164,143474,0,0,22416,773,175401,0,0,0,177777,0,0
44604625,7434,123,17,773,10,1164,143474,0,0,22416,773,175401,0,0,0,177777,0,0
44604626,7434,123,17,773,10,1164,143474,0,0,22416,773,175401,0,0,0,177777,0,0
44604627,215,123,17,773,10,1164,143474,0,0,22416,143474,0,215,0,0,177777,0,773
44604628,215,123,17,773,10,1164,0,0,0,22416,143474,0,215,0,0,177777,0,773
44604629,0,123,17,773,10,1164,0,0,0,22416,143474,0,215,0,0,177777,0,773
44604630,17174,123,17,773,10,1164,0,0,0,22416,143474,0,215,0,0,177777,0,773
44604631,17174,123,17,773,10,1164,0,0,0,22416,143474,0,215,0,0,177777,0,773
44604632,0,123,17,773,10,1164,0,63174,0,22416,143474,0,215,0,0,177777,0,773
44604633,6000,123,17,773,10,1164,0,63174,0,22416,143474,0,215,0,0,177777,0,773
44604634,6000,123,17,773,10,1164,0,0,0,22416,143474,0,215,0,0,177777,0,773
44604635,6000,123,17,773,10,1164,0,0,0,22416,143474,0,215,0,0,177777,0,773
44604636,6000,123,17,773,10,1164,0,0,0,22416,143474,0,215,0,0,177777,0,773
44604637,7256,123,17,773,10,1164,125604,0,125604,22416,143474,0,215,0,0,177777,0,773
44604638,7256,123,17,773,10,1164,125604,0,125604,22416,143474,0,215,0,0,177777,0,773
44604639,7256,123,17,773,10,1164,125604,0,125604,22416,143474,0,215,0,0,177777,0,773
44604640,7256,123,17,773,10,1164,125604,0,125604,22416,143474,0,215,0,0,177777,0,773
44604641,7256,123,17,773,10,1164,125604,0,0,22416,143474,0,215,0,0,177777,0,773
44604642,7256,123,17,773,10,1164,125604,0,0,22416,143474,0,215,0,0,177777,0,773
44604643,7256,123,17,773,10,1164,125604,0,0,22416,143474,0,215,0,0,177777,0,773
44604644,143,123,17,773,10,1164,125604,0,0,22416,125604,0,143,0,22416,155361,0,0
44604645,143,123,17,773,10,1164,0,0,0,22416,125604,0,143,34,22416,155361,0,0
44604646,0,123,17,773,10,1164,0,0,0,22416,125604,0,143,34,22416,155361,0,0
44604647,0,123,17,773,10,1164,0,0,0,22416,125604,0,143,34,22416,155361,0,0
